state,year,month,articles_all,articles_EPU_BBD,articles_EPU_Composite,articles_EPU_National,articles_EPU_State,ym,EPU_BBD,EPU_National,EPU_State,EPU_Composite,US_monthly_EPU,max_new_case,max_new_death,total_new_case,total_new_death,new_case,new_death,tot_cases,tot_death,is_school,is_res,is_bus,is_sip,repub_share_2016,stayathomeorder,mandatoryquarantinefortravelers,nonessentialbusinessclosures,largegatheringsban,schoolclosures,restaurantlimits,facecoveringrequirement,barclosures,unemp,emp,coincident_indic,population,state_code,period,lpop,num_papers,pres_general_election,pres_vote_margin,gov_general_election,gov_general_vote_share,gov_repub_dem_third,gov_primary_election,gov_primary_vote_share
MS,2015,5,8518,3,1,1,1,2015.3334,56.589745,18.863249,18.863249,18.863249,98.77916,,,,,,,,,,,,,.57941037,,,,,,,,,6.5,1133.4,110.35629003,2988471,MS,24185,14.910273,27,,,,,,,
MS,2015,6,7482,1,2,2,1,2015.4166,21.475161,42.950321,21.475161,42.950321,111.87161,,,,,,,,,,,,,.57941037,,,,,,,,,6.4,1132.5,110.51602199,2988471,MS,24186,14.910273,27,,,,,,,
MS,2015,7,8622,6,10,7,4,2015.5,111.8143,130.45003,74.54287,186.35718,95.319237,,,,,,,,,,,,,.57941037,,,,,,,,,6.3,1133.6,110.64912533,2988471,MS,24187,14.910273,27,,,,,,,
MS,2015,8,7885,1,5,1,4,2015.5834,20.377571,20.377571,81.510284,101.88786,151.08966,,,,,,,,,,,,,.57941037,,,,,,,,,6.3,1135.4,110.94403993,2988471,MS,24188,14.910273,27,,,,,,1,
MS,2015,9,8082,1,4,1,4,2015.6666,19.880865,19.880865,79.52346,79.52346,165.98497,,,,,,,,,,,,,.57941037,,,,,,,,,6.3,1136.5,111.1382955,2988471,MS,24189,14.910273,27,,,,,,,
MS,2015,10,8035,2,3,2,1,2015.75,39.994312,39.994312,19.997156,59.99147,106.87239,,,,,,,,,,,,,.57941037,,,,,,,,,6.4,1140.4,111.42699728,2988471,MS,24190,14.910273,27,,,,,,,
MS,2015,11,6932,2,3,1,3,2015.8334,46.358089,23.179045,69.53714,69.53714,86.484711,,,,,,,,,,,,,.57941037,,,,,,,,,6.4,1141.1,111.61391737,2988471,MS,24191,14.910273,27,,,1,.66243017,1,,
MS,2015,12,7338,2,1,1,1,2015.9166,43.793171,21.896585,21.896585,21.896585,98.436188,,,,,,,,,,,,,.57941037,,,,,,,,,6.4,1142.9,111.79416313,2988471,MS,24192,14.910273,27,,,,,,,
MS,2016,1,7199,3,4,2,2,2016,66.958107,44.638744,44.638744,89.277489,149.50031,,,,,,,,,,,,,.57941037,,,,,,,,,6.3,1144.8,112.07722162,2987938,MS,24193,14.910094,27,,,,,,,
MS,2016,2,7121,1,5,2,5,2016.0834,22.563847,45.127693,112.81924,112.81924,143.19086,,,,,,,,,,,,,.57941037,,,,,,,,,6.2,1146.8,112.43389957,2987938,MS,24194,14.910094,27,,,,,,,
MS,2016,3,7933,3,3,2,2,2016.1666,60.762817,40.508549,40.508549,60.762817,125.97608,,,,,,,,,,,,,.57941037,,,,,,,,,6.1,1146.7,112.50410693,2987938,MS,24195,14.910094,27,,,,,,,
MS,2016,4,6774,2,3,1,3,2016.25,47.439373,23.719687,71.159058,71.159058,93.078163,,,,,,,,,,,,,.57941037,,,,,,,,,6,1145.5,112.65841465,2987938,MS,24196,14.910094,27,,,,,,,
MS,2016,5,6702,3,3,1,2,2016.3334,71.923523,23.974508,47.949017,71.923523,92.893684,,,,,,,,,,,,,.57941037,,,,,,,,,6,1145,112.75187645,2987938,MS,24197,14.910094,27,,,,,,,
MS,2016,6,6582,3,5,3,3,2016.4166,73.234802,73.234802,73.234802,122.058,225.86281,,,,,,,,,,,,,.57941037,,,,,,,,,5.9,1141.9,112.72384675,2987938,MS,24198,14.910094,27,,,,,,,
MS,2016,7,6496,6,6,5,2,2016.5,148.40871,123.67391,49.469566,148.40871,158.76924,,,,,,,,,,,,,.57941037,,,,,,,,,5.9,1148.2,113.20558923,2987938,MS,24199,14.910094,27,,,,,,,
MS,2016,8,7127,7,7,4,4,2016.5834,157.81396,90.179398,90.179398,157.81396,103.1881,,,,,,,,,,,,,.57941037,,,,,,,,,5.9,1146.7,113.31191697,2987938,MS,24200,14.910094,27,,,,,,,
MS,2016,9,7227,1,2,1,2,2016.6666,22.232897,22.232897,44.465794,44.465794,83.356628,,,,,,,,,,,,,.57941037,,,,,,,,,5.9,1148.2,113.50302526,2987938,MS,24201,14.910094,27,,,,,,,
MS,2016,10,7338,2,2,1,1,2016.75,43.793171,21.896585,21.896585,43.793171,104.32584,,,,,,,,,,,,,.57941037,,,,,,,,,5.9,1147.8,113.72566988,2987938,MS,24202,14.910094,27,,,,,,,
MS,2016,11,7021,5,5,5,1,2016.8334,114.42611,114.42611,22.885223,114.42611,245.31113,,,,,,,,,,,,,.57941037,,,,,,,,,5.8,1148,113.95204704,2987938,MS,24203,14.910094,27,1,.021006705,,,,,
MS,2016,12,6621,1,5,5,2,2016.9166,24.267807,121.33904,48.535614,121.33904,155.84058,,,,,,,,,,,,,.57941037,,,,,,,,,5.7,1149,114.10358976,2987938,MS,24204,14.910094,27,,,,,,,
MS,2017,1,6936,6,11,6,7,2017,138.99408,138.99408,162.15976,254.82246,188.29355,,,,,,,,,,,,,.57941037,,,,,,,,,5.6,1149.6,114.30720593,2988510,MS,24205,14.910286,27,,,,,,,
MS,2017,2,6768,8,9,3,8,2017.0834,189.9257,71.222137,189.9257,213.66641,171.62781,,,,,,,,,,,,,.57941037,,,,,,,,,5.5,1150.7,114.5693118,2988510,MS,24206,14.910286,27,,,,,,,
MS,2017,3,7605,9,11,5,9,2017.1666,190.15047,105.63915,190.15047,232.40613,149.26125,,,,,,,,,,,,,.57941037,,,,,,,,,5.4,1151.9,114.80672066,2988510,MS,24207,14.910286,27,,,,,,,
MS,2017,4,6846,2,9,2,9,2017.25,46.940449,46.940449,211.23201,211.23201,152.22198,,,,,,,,,,,,,.57941037,,,,,,,,,5.4,1150.7,114.90248223,2988510,MS,24208,14.910286,27,,,,,,,
MS,2017,5,6979,1,2,1,1,2017.3334,23.022947,23.022947,23.022947,46.045895,125.39481,,,,,,,,,,,,,.57941037,,,,,,,,,5.3,1149.8,114.96521033,2988510,MS,24209,14.910286,27,,,,,,,
MS,2017,6,6142,2,3,2,1,2017.4166,52.320793,52.320793,26.160397,78.481194,116.46518,,,,,,,,,,,,,.57941037,,,,,,,,,5.3,1151.4,115.24912857,2988510,MS,24210,14.910286,27,,,,,,,
