state,date,year,month,day,stayathomeorder,mandatoryquarantinefortravelers,nonessentialbusinessclosures,largegatheringsban,schoolclosures,restaurantlimits,facecoveringrequirement,barclosures
CA,22078,2020,6,12,3,0,2,2,1,2,0,2
CA,22081,2020,6,15,3,0,2,2,1,2,0,2
CA,22083,2020,6,17,3,0,2,2,1,1,0,1
CA,22088,2020,6,22,3,0,2,2,1,1,0,1
CA,22090,2020,6,24,3,0,2,2,1,1,0,1
CA,22091,2020,6,25,3,0,2,2,1,1,2,1
CA,22092,2020,6,26,3,0,2,2,1,1,2,1
CA,22096,2020,6,30,3,0,2,2,1,1,2,1
CA,22097,2020,7,1,3,0,2,2,1,1,2,0
CA,22103,2020,7,7,3,0,3,2,1,2,2,2
CA,22104,2020,7,8,3,0,3,2,0,2,2,2
CA,22106,2020,7,10,3,0,3,2,0,2,2,2
CA,22109,2020,7,13,3,0,3,2,0,2,2,2
CA,22111,2020,7,15,3,0,3,2,0,2,2,2
CA,22112,2020,7,16,3,0,3,2,0,2,2,2
CA,22113,2020,7,17,3,0,3,2,0,2,2,2
CA,22116,2020,7,20,3,0,3,2,0,2,2,2
CA,22117,2020,7,21,3,0,3,2,0,2,2,2
CA,22119,2020,7,23,3,0,3,2,0,2,2,2
CA,22123,2020,7,27,3,0,3,2,0,2,2,2
CA,22124,2020,7,28,3,0,3,2,0,2,2,2
CA,22126,2020,7,30,3,0,3,2,0,2,2,2
CA,22130,2020,8,3,3,0,3,2,0,2,2,2
CA,22132,2020,8,5,3,0,3,2,0,2,2,2
CA,22138,2020,8,11,3,0,3,2,0,2,2,2
CA,22158,2020,8,31,3,0,3,2,0,2,2,2
CA,22160,2020,9,2,3,0,3,2,0,2,2,2
CA,22166,2020,9,8,3,0,3,2,0,2,2,2
CA,22172,2020,9,14,3,0,3,2,0,1,2,2
CA,22180,2020,9,22,3,0,3,2,0,1,2,2
CA,22182,2020,9,24,3,0,3,2,0,1,2,2
CA,22189,2020,10,1,3,0,3,2,0,1,2,2
CA,22193,2020,10,5,3,0,3,2,0,1,2,2
CA,22210,2020,10,22,3,0,3,2,0,1,2,2
CA,22211,2020,10,23,3,0,3,2,0,1,2,2
CA,22215,2020,10,27,3,0,3,2,0,1,2,2
CA,22221,2020,11,2,3,0,3,2,0,1,2,2
CA,22225,2020,11,6,3,0,3,2,0,1,2,2
CA,22230,2020,11,11,3,0,3,2,0,1,2,2
CA,22232,2020,11,13,3,0,3,2,0,1,2,2
CA,22235,2020,11,16,3,0,3,1,0,1,2,2
CA,22239,2020,11,20,3,0,3,2,0,1,2,2
CA,22249,2020,11,30,3,0,3,2,0,1,2,2
CA,22250,2020,12,1,2,0,3,2,0,1,2,2
CA,22258,2020,12,9,2,0,3,2,0,1,2,2
CA,22260,2020,12,11,2,0,3,2,0,1,2,2
CA,22263,2020,12,14,2,0,3,2,0,1,2,2
CA,22266,2020,12,17,2,0,3,2,0,1,2,2
CA,22267,2020,12,18,2,0,3,2,0,1,2,2
CA,22269,2020,12,20,2,0,3,2,0,1,2,2
CA,22284,2021,1,4,2,0,3,2,0,1,2,2
CA,22288,2021,1,8,2,0,3,2,0,1,2,2
CA,22291,2021,1,11,2,0,3,2,0,1,2,2
CA,22292,2021,1,12,2,0,3,2,0,1,2,2
CA,22294,2021,1,14,2,0,3,2,0,1,2,2
CA,22295,2021,1,15,2,0,3,2,0,1,2,2
CA,22299,2021,1,19,2,0,3,2,0,1,2,2
CA,22301,2021,1,21,2,0,3,2,0,1,2,2
CA,22302,2021,1,22,2,0,3,2,0,1,2,2
CA,22305,2021,1,25,2,0,3,2,0,1,2,2
CA,22306,2021,1,26,1,0,3,1,0,1,2,2
CA,22308,2021,1,28,1,0,3,1,0,1,2,2
CA,22309,2021,1,29,1,0,3,1,0,1,2,2
CA,22312,2021,2,1,1,0,3,1,0,1,2,2
CA,22314,2021,2,3,1,0,3,1,0,1,2,2
CA,22320,2021,2,9,1,0,3,1,0,1,2,2
CA,22322,2021,2,11,1,0,3,1,0,1,2,2
CA,22323,2021,2,12,1,0,3,1,0,1,2,2
CA,22327,2021,2,16,0,0,2,1,0,1,2,2
CA,22333,2021,2,22,0,0,2,2,0,2,2,2
CA,22340,2021,3,1,0,0,2,2,0,2,2,2
CA,22342,2021,3,3,0,0,2,2,0,2,2,2
CA,22347,2021,3,8,0,0,2,2,0,2,2,2
CA,22354,2021,3,15,0,0,2,2,0,2,2,2
CA,22361,2021,3,22,0,0,2,1,0,1,2,2
CA,22368,2021,3,29,0,0,2,1,0,1,2,2
CA,22375,2021,4,5,0,0,2,1,0,1,2,2
CA,22382,2021,4,12,0,0,1,1,0,1,2,1
CA,22389,2021,4,19,0,0,1,1,0,1,2,1
CA,22396,2021,4,26,0,0,1,1,0,1,2,1
CA,22403,2021,5,3,0,0,1,1,0,1,2,1
CA,22410,2021,5,10,0,0,1,1,0,1,2,1
CA,22417,2021,5,17,0,0,1,1,0,1,2,1
CA,22424,2021,5,24,0,0,1,1,0,1,2,1
CA,22432,2021,6,1,0,0,1,1,0,1,2,1
CA,22438,2021,6,7,0,0,1,1,0,1,2,1
CA,22445,2021,6,14,0,0,0,0,0,0,1,0
CA,22452,2021,6,21,0,0,0,0,0,0,1,0
CA,22459,2021,6,28,0,0,0,0,0,0,1,0
CA,22463,2021,7,2,0,0,0,0,0,0,1,0
CO,22070,2020,6,4,1,0,2,1,2,1,0,1
CO,22071,2020,6,5,1,0,2,1,2,1,0,1
