state,year,month,stayathomeorder,mandatoryquarantinefortravelers,nonessentialbusinessclosures,largegatheringsban,schoolclosures,restaurantlimits,facecoveringrequirement,barclosures,is_school,is_res,is_bus,is_sip
ME,2020,7,.45161289,1,1,1,.22580644,1,1,1,,,,
ME,2020,8,0,1,1,1,0,1,1,1,,,,
ME,2020,9,0,1,1,1,0,1,1,1,,,,
ME,2020,10,0,1,1,1,0,1,1,1,,,,
ME,2020,11,0,1,1,1,0,1,1,1,,,,
ME,2020,12,0,1,1,1,0,1,1,1,,,,
ME,2021,1,0,1,1,1,0,1,1,1,,,,
ME,2021,2,0,1,1,1,0,1,1,1,,,,
ME,2021,3,0,1,1,1,0,1,1,1,,,,
ME,2021,4,0,1,1,1,0,1,1,1,,,,
ME,2021,5,0,.74193549,.74193549,.74193549,0,.74193549,.74193549,.74193549,,,,
ME,2021,6,0,0,0,0,0,0,0,0,,,,
ME,2021,7,0,0,0,0,0,0,0,0,,,,
MI,2020,6,0,0,1,1,1,1,.22222222,1,,,,
MI,2020,7,0,0,1,1,.22580644,1,1,1,,,,
MI,2020,8,0,0,1,1,0,1,1,1,,,,
MI,2020,9,0,0,1,1,0,1,1,1,,,,
MI,2020,10,0,0,1,1,0,1,1,1,,,,
MI,2020,11,0,0,1,1,0,1,1,1,,,,
MI,2020,12,0,0,1,1,0,1,1,1,,,,
MI,2021,1,0,0,1,1,0,1,1,1,,,,
MI,2021,2,0,0,1,1,0,1,1,1,,,,
MI,2021,3,0,0,1,1,0,1,1,1,,,,
MI,2021,4,0,0,1,1,0,1,1,1,,,,
MI,2021,5,0,0,1,1,0,1,1,1,,,,
MI,2021,6,0,0,.66666669,.66666669,0,.66666669,.66666669,.66666669,,,,
MI,2021,7,0,0,0,0,0,0,0,0,,,,
MN,2020,6,0,0,1,1,1,1,.22222222,1,,,,
MN,2020,7,0,0,1,1,.22580644,1,1,0,,,,
MN,2020,8,0,0,1,1,0,1,1,0,,,,
MN,2020,9,0,0,1,1,0,1,1,0,,,,
MN,2020,10,0,0,1,1,0,1,1,0,,,,
MN,2020,11,0,0,1,1,0,1,1,0,,,,
MN,2020,12,0,0,1,1,0,1,1,.48387095,,,,
MN,2021,1,0,0,1,1,0,1,1,1,,,,
MN,2021,2,0,0,1,1,0,1,1,1,,,,
MN,2021,3,0,0,1,1,0,1,1,1,,,,
MN,2021,4,0,0,1,1,0,1,1,1,,,,
MN,2021,5,0,0,1,1,0,.29032257,.51612902,.29032257,,,,
MN,2021,6,0,0,.89999998,.89999998,0,0,0,0,,,,
MN,2021,7,0,0,0,0,0,0,0,0,,,,
MO,2020,6,0,0,.48148149,0,1,0,0,0,,,,
MO,2020,7,0,0,0,0,.22580644,0,0,0,,,,
MO,2020,8,0,0,0,0,0,0,0,0,,,,
MO,2020,9,0,0,0,0,0,0,0,0,,,,
MO,2020,10,0,0,0,0,0,0,0,0,,,,
MO,2020,11,0,0,0,0,0,0,0,0,,,,
MO,2020,12,0,0,0,0,0,0,0,0,,,,
MO,2021,1,0,0,0,0,0,0,0,0,,,,
MO,2021,2,0,0,0,0,0,0,0,0,,,,
MO,2021,3,0,0,0,0,0,0,0,0,,,,
MO,2021,4,0,0,0,0,0,0,0,0,,,,
MO,2021,5,0,0,0,0,0,0,0,0,,,,
MO,2021,6,0,0,0,0,0,0,0,0,,,,
MO,2021,7,0,0,0,0,0,0,0,0,,,,
MS,2020,6,0,0,1,1,1,1,.22222222,1,,,,
MS,2020,7,0,0,1,1,.22580644,1,1,.16129032,,,,
MS,2020,8,0,0,1,1,0,1,1,1,,,,
MS,2020,9,0,0,1,1,0,1,1,1,,,,
MS,2020,10,0,0,1,1,0,1,1,1,,,,
MS,2020,11,0,0,.96666664,1,0,1,1,1,,,,
MS,2020,12,0,0,0,1,0,1,1,1,,,,
MS,2021,1,0,0,0,1,0,1,1,1,,,,
MS,2021,2,0,0,.4642857,1,0,1,.53571427,1,,,,
MS,2021,3,0,0,.064516127,.064516127,0,.064516127,0,.064516127,,,,
MS,2021,4,0,0,0,0,0,0,0,0,,,,
MS,2021,5,0,0,0,0,0,0,0,0,,,,
MS,2021,6,0,0,0,0,0,0,0,0,,,,
MS,2021,7,0,0,0,0,0,0,0,0,,,,
MT,2020,6,0,0,1,1,0,1,0,1,,,,
MT,2020,7,0,0,1,1,0,1,.51612902,0,,,,
MT,2020,8,0,0,1,1,0,1,1,0,,,,
MT,2020,9,0,0,1,1,0,1,1,0,,,,
MT,2020,10,0,0,1,1,0,1,1,0,,,,
MT,2020,11,0,0,1,1,0,1,1,.36666667,,,,
MT,2020,12,0,0,1,1,0,1,1,1,,,,
MT,2021,1,0,0,.45161289,.45161289,0,.45161289,1,.45161289,,,,
MT,2021,2,0,0,0,0,0,0,.39285713,0,,,,
MT,2021,3,0,0,0,0,0,0,0,0,,,,
MT,2021,4,0,0,0,0,0,0,0,0,,,,
MT,2021,5,0,0,0,0,0,0,0,0,,,,
MT,2021,6,0,0,0,0,0,0,0,0,,,,
MT,2021,7,0,0,0,0,0,0,0,0,,,,
NC,2020,6,0,0,1,1,1,1,.22222222,1,,,,
NC,2020,7,0,0,1,1,.22580644,1,1,1,,,,
NC,2020,8,0,0,1,1,0,1,1,1,,,,
NC,2020,9,0,0,1,1,0,1,1,1,,,,
NC,2020,10,0,0,1,1,0,1,1,1,,,,
NC,2020,11,0,0,1,1,0,1,1,1,,,,
NC,2020,12,.67741936,0,1,1,0,1,1,1,,,,
NC,2021,1,1,0,1,1,0,1,1,1,,,,
NC,2021,2,1,0,1,1,0,1,1,1,,,,
NC,2021,3,0,0,1,1,0,1,1,1,,,,
NC,2021,4,0,0,1,1,0,1,1,1,,,,
NC,2021,5,0,0,.51612902,.51612902,0,.51612902,.51612902,.51612902,,,,
NC,2021,6,0,0,0,0,0,0,0,0,,,,
NC,2021,7,0,0,0,0,0,0,0,0,,,,
ND,2020,6,0,1,0,0,1,0,0,0,,,,
ND,2020,7,0,1,0,0,.22580644,0,0,0,,,,
ND,2020,8,0,1,0,0,0,0,0,0,,,,
ND,2020,9,0,.69999999,0,0,0,0,0,0,,,,
ND,2020,10,0,0,0,.32258064,0,0,0,0,,,,
ND,2020,11,0,0,0,1,0,.5,.5,.5,,,,
ND,2020,12,0,0,0,1,0,1,1,1,,,,
ND,2021,1,0,0,0,.22580644,0,.58064514,1,.58064514,,,,
ND,2021,2,0,0,0,0,0,0,.53571427,0,,,,
ND,2021,3,0,0,0,0,0,0,0,0,,,,
ND,2021,4,0,0,0,0,0,0,0,0,,,,
ND,2021,5,0,0,0,0,0,0,0,0,,,,
ND,2021,6,0,0,0,0,0,0,0,0,,,,
ND,2021,7,0,0,0,0,0,0,0,0,,,,
NE,2020,6,0,1,0,1,1,1,.22222222,1,,,,
NE,2020,7,0,1,0,1,.22580644,1,1,0,,,,
NE,2020,8,0,1,0,1,0,1,1,0,,,,
NE,2020,9,0,1,0,1,0,1,1,0,,,,
NE,2020,10,0,1,0,1,0,.67741936,1,0,,,,
NE,2020,11,0,1,0,.63333333,0,0,1,0,,,,
NE,2020,12,0,1,0,0,0,0,1,0,,,,
NE,2021,1,0,1,0,0,0,0,1,0,,,,
NE,2021,2,0,0,0,0,0,0,.53571427,0,,,,
NE,2021,3,0,0,0,0,0,0,0,0,,,,
NE,2021,4,0,0,0,0,0,0,0,0,,,,
NE,2021,5,0,0,0,0,0,0,0,0,,,,
NE,2021,6,0,0,0,0,0,0,0,0,,,,
NE,2021,7,0,0,0,0,0,0,0,0,,,,
NH,2020,6,.4074074,0,1,.4074074,1,1,.22222222,1,,,,
NH,2020,7,0,0,1,0,.22580644,1,1,0,,,,
NH,2020,8,0,0,1,0,0,1,1,0,,,,
NH,2020,9,0,0,1,0,0,1,1,0,,,,
NH,2020,10,0,0,1,0,0,1,1,0,,,,
NH,2020,11,0,.5,1,0,0,.63333333,1,0,,,,
NH,2020,12,0,1,1,0,0,0,1,0,,,,
NH,2021,1,0,1,1,0,0,0,1,0,,,,
NH,2021,2,0,1,.53571427,0,0,0,1,0,,,,
NH,2021,3,0,1,0,0,0,0,1,0,,,,
NH,2021,4,0,.83333331,0,0,0,0,.60000002,0,,,,
NH,2021,5,0,0,0,0,0,0,0,0,,,,
NH,2021,6,0,0,0,0,0,0,0,0,,,,
NH,2021,7,0,0,0,0,0,0,0,0,,,,
NJ,2020,6,.2962963,.25925925,1,1,1,1,.22222222,1,,,,
NJ,2020,7,0,1,1,1,.22580644,1,1,1,,,,
NJ,2020,8,0,1,1,1,0,1,1,1,,,,
NJ,2020,9,0,1,1,1,0,1,1,1,,,,
NJ,2020,10,0,1,1,1,0,1,1,1,,,,
NJ,2020,11,0,.96666664,1,1,0,1,1,1,,,,
NJ,2020,12,0,0,1,1,0,1,1,1,,,,
NJ,2021,1,0,0,1,1,0,1,1,1,,,,
NJ,2021,2,0,0,1,1,0,1,1,1,,,,
NJ,2021,3,0,0,1,1,0,1,1,1,,,,
NJ,2021,4,0,0,1,1,0,1,1,1,,,,
NJ,2021,5,0,0,.74193549,1,0,.74193549,.74193549,.74193549,,,,
NJ,2021,6,0,0,0,.66666669,0,0,0,0,,,,
NJ,2021,7,0,0,0,0,0,0,0,0,,,,
NM,2020,6,1,1,1,1,1,1,.22222222,1,,,,
NM,2020,7,.45161289,1,1,1,.22580644,1,1,1,,,,
NM,2020,8,0,1,1,1,0,1,1,1,,,,
NM,2020,9,0,1,1,1,0,1,1,1,,,,
NM,2020,10,0,1,1,1,0,1,1,1,,,,
NM,2020,11,.36666667,1,1,1,0,1,1,1,,,,
NM,2020,12,0,1,1,1,0,1,1,1,,,,
NM,2021,1,0,1,1,1,0,1,1,1,,,,
NM,2021,2,0,.35714287,1,1,0,1,1,1,,,,
NM,2021,3,0,0,1,1,0,1,1,1,,,,
